index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
12000,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Economy,8.5,12,10680
12500,AirAsia,I5-768,Delhi,Afternoon,one,Night,Bangalore,Economy,5.42,15,3090
13000,AirAsia,I5-550,Delhi,Evening,one,Late_Night,Bangalore,Economy,7.5,17,4469
13500,Indigo,6E-772,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.92,19,4500
14000,SpiceJet,SG-8171,Delhi,Morning,one,Morning,Bangalore,Economy,21,21,10077
14500,Air_India,AI-542,Delhi,Morning,one,Morning,Bangalore,Economy,25,24,4030
15000,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Economy,7.42,26,4496
15500,Indigo,6E-369,Delhi,Night,one,Early_Morning,Bangalore,Economy,10,28,4740
16000,Vistara,UK-859,Delhi,Morning,one,Morning,Bangalore,Economy,22.42,31,3672
16500,Indigo,6E-7403,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.17,33,4007
17000,Air_India,AI-9643,Delhi,Evening,one,Afternoon,Bangalore,Economy,17.83,35,4480
17500,Air_India,AI-401,Delhi,Early_Morning,one,Night,Bangalore,Economy,14,37,6892
18000,Indigo,6E-2478,Delhi,Night,one,Morning,Bangalore,Economy,8.83,40,3127
18500,Vistara,UK-817,Delhi,Evening,zero,Evening,Bangalore,Economy,2.75,42,4501
19000,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.75,44,4896
19500,AirAsia,I5-775,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.75,47,3090
20000,Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Economy,7.58,49,4496
20126,GO_FIRST,G8-101,Delhi,Early_Morning,zero,Early_Morning,Kolkata,Economy,2.17,1,5954
20130,GO_FIRST,G8-392,Delhi,Afternoon,one,Early_Morning,Kolkata,Economy,16,1,5954
20185,Air_India,AI-453,Delhi,Early_Morning,two_or_more,Morning,Kolkata,Economy,27.92,1,13688
20500,Indigo,6E-912,Delhi,Evening,zero,Evening,Kolkata,Economy,2.25,4,5955
21000,SpiceJet,SG-8152,Delhi,Morning,one,Morning,Kolkata,Economy,23.67,7,5954
21500,Indigo,6E-5041,Delhi,Evening,one,Late_Night,Kolkata,Economy,6.83,10,9373
22000,AirAsia,I5-711,Delhi,Early_Morning,one,Morning,Kolkata,Economy,5.67,13,5953
22500,Vistara,UK-977,Delhi,Evening,one,Morning,Kolkata,Economy,14.67,15,8114
23000,Air_India,AI-887,Delhi,Early_Morning,one,Night,Kolkata,Economy,16.67,18,5276
23500,AirAsia,I5-1529,Delhi,Morning,two_or_more,Evening,Kolkata,Economy,10.17,21,2480
24000,GO_FIRST,G8-338,Delhi,Morning,one,Evening,Kolkata,Economy,7,23,6395
24500,SpiceJet,SG-8152,Delhi,Morning,one,Night,Kolkata,Economy,11.25,26,4898
25000,Air_India,AI-865,Delhi,Morning,one,Morning,Kolkata,Economy,22.17,29,5805
25500,Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,Economy,2.25,32,4000
